name,LM Main Class,LM Subclass
Plasmanyl-PE(O-18:0/20:4),Glycerophosphoethanolamines,"1-alkyl,2-acylglycerophospho-ethanolamines"
Plasmanyl-PS(O-18:0/20:0),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/16:0),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/17:0),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/18:1),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/18:2),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/20:3),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/22:2),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/22:3),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmanyl-PS(O-20:0/22:5),Glycerophosphoserines,"1-alkyl,2-acylglycerophosphoserines "
Plasmenyl-LPE(P-16:0),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines"
Plasmenyl-LPE(P-18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines"
Plasmenyl-PC(P-16:0/16:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/18:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/20:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/20:3),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/20:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/22:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/22:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:0/22:6),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:1/17:0),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:1/18:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:1/20:5),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-16:1/21:0),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
